,ECLI,Datum,verdachte
340,ECLI:NL:RBOVE:2020:678,18-02-2020,
341,ECLI:NL:RBNNE:2017:4004,17-10-2017,"geboren op [geboortedatum] 1996 te [geboorteplaats], wonende te [straatnaam], [woonplaats]. Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van oktober 2017. Verdachte is niet verschenen; wel is verschenen mr. K. Valkeneers, advocaat te Sittard, die verklaard heeft uitdrukkelijk tot de verdediging te zijn gemachtigd. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. T. Klooster."
342,ECLI:NL:RBSGR:2007:BA9749,02-07-2007,"geboren te [woonplaats] op [geboortedatum 1962], [adres],  [woonplaats], thans gedetineerd in de [Penitentiaire Inrichting];"
343,ECLI:NL:RBAMS:2021:6054,26-10-2021,"geboren te [geboorteplaats] op [geboortedag] 2004, wonende op het adres [BRP-adres]"
344,ECLI:NL:RBROT:2020:9884,13-10-2020,"geboren te te [geboorteplaats verdachte] ( [geboorteland verdachte] ) op [geboortedatum verdachte] , zonder vaste woon- of verblijfplaats, ten tijde van het onderzoek op de terechtzitting preventief gedetineerd in de Penitentiaire Inrichting Rotterdam, locatie De Schie, te Rotterdam, raadsvrouw mr. T. Arkesteijn, advocaat te Rotterdam."
345,ECLI:NL:RBOVE:2019:1286,16-04-2019,", geboren op [geboortedatum] 1974 in [geboorteplaats] , wonende te [woonplaats] ."
346,ECLI:NL:RBLIM:2017:2477,20-03-2017,"geboren te [geboortegegevens verdachte] , wonende te [adresgegevens verdachte] , gedetineerd in PI Limburg Zuid - De Geerhorst te Sittard. De verdachte wordt bijgestaan door mr. E.E.W.J. Maessen, advocaat kantoorhoudende te Maastricht. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 6 maart 2017. De verdachte en zijn raadsman zijn verschenen. De officier van justitie en de verdediging hebben hun standpunten kenbaar gemaakt."
347,ECLI:NL:RBNNE:2015:3796,04-08-2015,"geboren op [geboortedatum] te [geboorteplaats] , wonende te [woonplaats] , thans gedetineerd in [verblijfplaats] . Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van 21 juli 2015. De verdachte is verschenen, bijgestaan door mr. B.P.M. Canoy, advocaat te Leeuwarden. Het openbaar ministerie werd ter terechtzitting vertegenwoordigd door mr. P.F. Hoekstra."
348,ECLI:NL:RBZLY:2010:BN5614,31-08-2010,
349,ECLI:NL:RBMNE:2020:4619,28-10-2020,", geboren op [2000] te [geboorteplaats] , op dit moment verblijvende in FPA de Boog te Warnsveld."
350,ECLI:NL:RBDHA:2020:4341,07-05-2020,"geboren op [geboortedag] 1985 te [geboorteplaats] , thans gedetineerd in Detentiecentrum Rotterdam te Rotterdam, zonder bekende woon- of verblijfplaats hier te lande."
351,ECLI:NL:RBNNE:2019:4718,22-10-2019,"geboren op [geboortedatum] 1969 te [geboorteplaats], wonende te [woonplaats], thans verblijvende in P.I. Leeuwarden, Holstmeerweg 7 in Leeuwarden. Dit vonnis is gewezen naar aanleiding van het onderzoek ter terechtzitting van 8 oktober 2019. De verdachte is verschenen, bijgestaan door mr. A. Scholtmeijer, advocaat te Heerenveen. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. R. Janssens."
352,ECLI:NL:RBNNE:2019:3919,03-09-2019,"geboren op [geboortedatum] 1983 te [geboorteplaats], niet als ingezetene ingeschreven in de basisregistratie personen en zonder bekende feitelijke woon- of verblijfplaats. Dit vonnis is gewezen naar aanleiding van het onderzoek ter terechtzitting van 20 augustus 2019. De verdachte is verschenen, bijgestaan door mr. M.R. Rauwerda, advocaat te Leeuwarden. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. H.J. Mous."
353,ECLI:NL:RBOVE:2019:2091,20-06-2019,"geboren op [geboortedatum] 1983 in [geboorteplaats] Sec.6 ( [land] ), geen vaste woon- of verblijfplaats in Nederland, momenteel gedetineerd in de P.I. Dordrecht."
354,ECLI:NL:RBNNE:2018:899,15-03-2018,"geboren op [geboortedatum] 1997 te [geboorteplaats], wonende te [woonplaats], thans gedetineerd te P.I. HvB Ter Apel. Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van maart 2018. Verdachte is verschenen, bijgestaan door mr. E. Hullegie, advocaat te Utrecht. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. T.H. Pitstra."
355,ECLI:NL:RBDHA:2015:15100,03-12-2015,"geboren te [geboorteplaats] op [geboortedag] 1998, adres: [adres 1] ."
356,ECLI:NL:RBARN:2011:BP7688,16-03-2011,
357,ECLI:NL:RBMNE:2021:2985,09-07-2021,"geboren op [1965] te [geboorteplaats] , wonende aan de [adres] te [woonplaats] , hierna te noemen: verdachte."
358,ECLI:NL:RBNHO:2021:224,05-01-2021,", geboren op [geboortedatum] 1998 te [geboorteplaats] , ingeschreven in de basisregistratie personen op het adres [adres] , thans gedetineerd in [P.I.] . De rechtbank heeft de zaken, die bij afzonderlijke dagvaardingen onder de bovenvermelde parketnummers zijn aangebracht, gevoegd. De rechtbank heeft kennisgenomen van de vordering van de officier van justitie, mr. R.P. Peters, en van hetgeen verdachte en zijn raadsman, mr. G. Kaaij, advocaat te Heerhugowaard, naar voren hebben gebracht."
359,ECLI:NL:RBAMS:2017:3789,31-05-2017,", geboren te [geboorteplaats] op [geboortedag] 1971, ingeschreven in de Basisregistratie Personen op het adres [GBA-adres] ."
360,ECLI:NL:RBNHO:2016:502,06-01-2016,"geboren op [geboortedatum] te Alkmaar, wonende te [adres]. De rechtbank heeft kennisgenomen van de vordering van de officier van justitie, mr. E. Visser, en van wat verdachte en zijn raadsvrouw, mr. B. Roodveldt, advocaat te Haarlem, naar voren hebben gebracht."
361,ECLI:NL:RBNNE:2015:523,09-02-2015,"geboren op [geboorteplaats], wonende te [woonplaats]. Verdachte is niet verschenen; wel is verschenen mr. A.J. Admiraal, advocaat te Amsterdam, die verklaard heeft uitdrukkelijk tot de verdediging te zijn gemachtigd. Het openbaar ministerie werd ter terechtzitting vertegenwoordigd door mr. B.A.C. Looijenstijn."
362,ECLI:NL:RBNNE:2013:7930,17-12-2013,"geboren te [plaats] op [datum] 1987, wonende Assen, verblijvende in PI Leeuwarden te Leeuwarden. Het onderzoek ter terechtzitting heeft plaatsgehad op 03 december 2013. De verdachte is verschenen en werd bijgestaan door mr. B.P.J. van Riel, advocaat te Arnhem."
363,ECLI:NL:RBBRE:2008:BD9823,17-07-2008,"geboren op [datum en plaats] thans gedetineerd in het huis van bewaring De Boschpoort te Breda raadsman mr. Verstrepen, advocaat te Oosterhout Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 3 juli 2008, waarbij de officier van justitie, mr. Van Delft, en de verdediging hun standpunten kenbaar hebben gemaakt."
364,ECLI:NL:RBNNE:2018:4411,30-10-2018,"geboren op [geboortedatum] 1994 te [geboorteplaats] , thans gedetineerd te PI Leeuwarden, Holstmeerweg 7 te Leeuwarden. Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van 16 oktober 2018. Verdachte is verschenen, bijgestaan door mr. R.W. Kuper, advocaat te Leeuwarden. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. S.E. Eijzenga."
365,ECLI:NL:RBOVE:2018:1,02-01-2018,", geboren op [geboortedatum] 1969 in [geboorteplaats] ( [land] ), wonende in [woonplaats] , nu verblijvende in PI Overijssel, HvB Karelskamp te Almelo."
366,ECLI:NL:RBNNE:2013:1776,15-02-2013,"geboren op [geboortedatum] te [geboorteplaats], wonende te [woonplaats], thans gedetineerd in [naam P.I.] De rechtbank heeft gelet op het ter terechtzitting gehouden onderzoek van 1 februari 2013. De verdachte is verschenen, bijgestaan door mr. E. Albayrak, advocaat te Leeuwarden."
367,ECLI:NL:RBZUT:2012:BV9841,09-03-2012,"geboren te [geboorteplaats] op [geboortedatum] 1969, wonende te [woonplaats], thans gedetineerd in Penitentiaire Inrichting Vrouwen Breda, te Breda. Raadsman: S. Burmeister advocaat te Amsterdam Onderzoek van de zaak Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van 24 februari 2012."
368,ECLI:NL:RBUTR:2010:BM4011,10-05-2010,"geboren op [1990] te Litouwen (plaats onbekend) zonder bekende woon- of verblijfplaats in Nederland raadsman mr. M. ’t Sas, advocaat te Wijk bij Duurstede Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 8 februari 2010 en 26 april 2010. Verdachte is op 26 april 2010 niet verschenen. Wel is verschenen zijn gemachtigde raadsman mr. M. ’t Sas. De officier van justitie en de verdediging hebben hun standpunten kenbaar gemaakt. De zaak is gelijktijdig, doch niet gevoegd, behandeld met de zaken van de medeverdachten  [medeverdachte 1], [medeverdachte 2], [medeverdachte 3] en [medeverdachte 4]."
369,ECLI:NL:RBBRE:2009:BI1439,16-04-2009,"geboren op [datum en plaats] wonende te [adres] raadsman mr. Neijndorff, advocaat te Breda Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 2 april 2009, waarbij de officier van justitie, mr. Van Delft, en de verdediging hun standpunten kenbaar hebben gemaakt."
370,ECLI:NL:RBLIM:2013:5558,18-09-2013,"geboren te [geboortegegevens verdachte], thans gedetineerd in PI Limburg Zuid - De Geerhorst, Op de Geer 1 te Sittard. Raadsman is mr. W.R. Smeets, advocaat te Maastricht. Het onderzoek van de zaak Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van 4 september 2013. De rechtbank heeft op 4 september 2013 de officier van justitie en de verdachte, bijgestaan door zijn raadsman, gehoord."
371,ECLI:NL:RBHAA:2006:AZ1227,25-09-2006,"geboren op [geboortedatum] te [geboorteplaats], wonende te [woonplaats]."
372,ECLI:NL:RBMNE:2020:742,27-02-2020,", geboren op [1978] te [geboorteplaats] , zonder vaste woon- of verblijfplaats in Nederlandgedetineerd in Nieuwegein, PI Nieuwegein."
373,ECLI:NL:RBOVE:2019:2085,20-06-2019,"geboren op [geboortedatum] 1982 in [geboorteplaats] , ( [land] ), geen vaste woon- of verblijfplaats in Nederland."
374,ECLI:NL:RBOVE:2019:2087,20-06-2019,"geboren op [geboortedatum] 1976 in [geboorteplaats] ( [land] ), geen vaste woon- of verblijfplaats in Nederland, momenteel gedetineerd in de P.I. Zutphen."
375,ECLI:NL:RBOVE:2019:2089,20-06-2019,"geboren op [geboortedatum] 1978 in [geboorteplaats] ( [land] ), geen vaste woon- of verblijfplaats in Nederland, momenteel gedetineerd in de P.I. Utrecht, locatie Nieuwersluis."
376,ECLI:NL:RBNNE:2019:2515,11-06-2019,"geboren op [geboortedatum] 1985 te [geboorteplaats], wonende te [woonplaats], [straatnaam]. Dit vonnis is gewezen naar aanleiding van het onderzoek ter terechtzitting van 28 mei 2019. De verdachte is verschenen, bijgestaan door mr. H.W. de Jong, advocaat te Leeuwarden. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. A.J. Kemkers."
377,ECLI:NL:RBNNE:2019:1365,04-04-2019,"geboren op [geboortedatum] 1964 te [geboorteplaats] , thans zonder vaste woon- of verblijfplaats in Nederland. Dit vonnis is gewezen naar aanleiding van het onderzoek ter terechtzitting van 21 maart 2019. Verdachte is verschenen, bijgestaan door mr. L.S. Wachters, advocaat te Arnhem. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. G. Wilbrink."
378,ECLI:NL:RBOVE:2014:5707,28-10-2014,"geboren op [geboortedag] 1995 in [geboorteplaats], wonende te [woonplaats], aan de [adres 1]."
379,ECLI:NL:RBNNE:2021:5277,17-12-2021,"geboren op [geboortedatum] 1984 te [geboorteplaats] , wonende te [woonplaats] , [straatnaam] . Dit vonnis is gewezen naar aanleiding van het onderzoek ter terechtzittingen van 3 november 2021 en 3 december 2021. Verdachte is verschenen, bijgestaan door mr. E. Albayrak, advocaat te Heerenveen. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. T.H. Pitstra."
380,ECLI:NL:RBOVE:2021:3014,29-07-2021,"geboren op [geboortedatum] 1970 in [geboorteplaats] , wonende te [adres 1] , nu verblijvende in de PI Veenhuizen te Veenhuizen."
381,ECLI:NL:RBMNE:2019:5884,11-12-2019,", geboren op [2000] te [geboorteplaats] (Syrië), gedetineerd in Forensisch Centrum Teylingereind."
382,ECLI:NL:RBNNE:2019:4085,01-10-2019,"geboren op [geboortedatum] 1989 te [geboorteplaats] , wonende te [woonplaats] , [straatnaam] . Dit vonnis is gewezen naar aanleiding van het onderzoek ter zitting van 6 augustus 2019 en 17 september 2019. Verdachte is verschenen, bijgestaan door mr. S.A.S. Jansen , advocaat te Veenendaal. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. P.H.S. van Rest."
383,ECLI:NL:RBNNE:2019:337,31-01-2019,"geboren op [geboortedatum] 2000 te [geboorteplaats] , wonende bij [straatnaam] , [woonplaats] . Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van 17 januari 2019. Verdachte is verschenen, bijgestaan door mr. R.P. Eefting, advocaat te Assen. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr A. [slachtoffer 2] Oever."
384,ECLI:NL:RBMNE:2017:4819,20-09-2017,geboren op [1962] te [geboorteplaats] gedetineerd te PI Flevoland - HvB Almere Binnen.
385,ECLI:NL:RBGEL:2016:516,26-01-2016,
386,ECLI:NL:RBOVE:2015:5747,29-12-2015,"geboren op [geboortedatum] 1983 te [geboorteplaats] , wonende te [woonplaats] ."
387,ECLI:NL:RBOVE:2015:5746,29-12-2015,"geboren op [geboortedatum] 1990 te [geboorteplaats] , wonende te [woonplaats] , nu verblijvende in P.I. Nieuwersluis (HvB)."
388,ECLI:NL:RBOVE:2015:4162,08-09-2015,"geboren op [geboortedag] 1965 in [geboorteplaats] , wonende in [woonplaats] , [adres] ."
389,ECLI:NL:RBNHO:2015:2910,25-03-2015,", geboren op [geboortedatum] te [geboorteplaats], ingeschreven in de basisadministratie persoonsgegevens op het adres [adres 1] , thans gedetineerd in de Penitentiaire Inrichting Haarlem te Haarlem. De rechtbank heeft de zaken, die bij afzonderlijke dagvaardingen onder de bovenvermelde parketnummers zijn aangebracht, gevoegd. De rechtbank heeft kennisgenomen van de vordering van de officier van justitie mr. A.M.H.G. Peters en van wat verdachte en zijn raadsman, mr. M.S. Rozenbeek, advocaat te Haarlem, naar voren hebben gebracht."
390,ECLI:NL:RBALM:2009:BK4026,17-11-2009,"geboren in 1989, thans gedetineerd, terechtstaande terzake parketnummer 08/710017-09 dat: zij op of omstreeks 10 januari 2009 in de gemeente Almelo ter uitvoering van het door verdachte voorgenomen misdrijf om tezamen en in vereniging met een ander of anderen, althans alleen, opzettelijk en met voorbedachten rade [slachtoffer] van het leven te beroven, tezamen en in vereniging met een ander of anderen, althans alleen, met dat opzet en na kalm beraad en rustig overleg, voornoemde [slachtoffer] (terwijl voornoemde [slachtoffer] op de grond lag), meermalen (met kracht) (met geschoeide voet) in/tegen het gezicht/hoofd en/of tegen het lichaam heeft/hebben geschopt en/of getrapt, terwijl de uitvoering van dat voorgenomen misdrijf niet is voltooid; ALTHANS, voor zover voor het vorenstaande onder 1 geen veroordeling mocht of zou kunnen volgen, SUBSIDIAIR, terzake dat zij op of omstreeks 10 januari 2009 in de gemeente Almelo ter uitvoering van het door verdachte voorgenomen misdrijf om tezamen en in vereniging met een ander of anderen, althans alleen, opzettelijk [slachtoffer] van het leven te beroven, immers heeft/hebben verdachte en/of haar mededader(s) met dat opzet voornoemde [slachtoffer] (terwijl voornoemde [slachtoffer] op de grond lag) meermalen (met kracht) (met geschoeide voet) in/tegen het gezicht/hoofd en/of tegen het lichaam geschopt en/of getrapt, terwijl de uitvoering van dat voorgenomen misdrijf niet is voltooid, welke vorenomschreven poging tot doodslag werd gevolgd, vergezeld en/of voorafgegaan van enig strafbaar feit, te weten diefstal van een mobiele telefoon en/of (een) tas(sen) en/of een laptop en/of (een) bankpas(sen), althans enig goed, en welke poging tot doodslag werd gepleegd met het oogmerk om de uitvoering van dat feit voor te bereiden en/of gemakkelijk te maken en/of om, bij betrapping op heterdaad, aan zichzelf en/of aan de andere deelnemer(s) straffeloosheid en/of het bezit van het wederrechtelijk verkregene te verzekeren, ALTHANS, voor zover voor het vorenstaande onder 1 geen veroordeling mocht of zou kunnen volgen, MEER SUBSIDIAIR, terzake dat zij op of omstreeks 10 januari 2009 in de gemeente Almelo ter uitvoering van het door verdachte voorgenomen misdrijf om tezamen en in vereniging met een ander of anderen, althans alleen, aan een persoon genaamd [slachtoffer], opzettelijk zwaar lichamelijk letsel toe te brengen, met dat opzet die [slachtoffer] (terwijl die [slachtoffer] op de grond lag) meermalen, althans eenmaal (met kracht) (met geschoeide voet) in/tegen het gezicht/hoofd en/of tegen het lichaam heeft/hebben geschopt en/of getrapt, terwijl de uitvoering van dat voorgenomen misdrijf niet is voltooid; zij op of omstreeks 10 januari 2009 in de gemeente Almelo tezamen en in vereniging met een ander of anderen, althans alleen, met het oogmerk van wederrechtelijke toe-eigening heeft weggenomen een mobiele telefoon (Samsung, kleur roze) en/of (een) tas(sen) en/of een laptop en/of (een) bankpas(sen), in elk geval enig goed, geheel of ten dele toebehorende aan [slachtoffer], in elk geval aan een ander of anderen dan aan verdachte en/of haar mededader(s), welke diefstal werd voorafgegaan en/of vergezeld en/of gevolgd van geweld en/of bedreiging met geweld tegen voornoemde [slachtoffer], gepleegd met het oogmerk om die diefstal voor te bereiden en/of gemakkelijk te maken en/of om bij betrapping op heterdaad aan zichzelf en/of aan haar mededader(s) hetzij de vlucht mogelijk te maken, hetzij het bezit van het gestolene te verzekeren, welk geweld en/of welke bedreiging met geweld hierin bestond(en) dat: - voornoemde [slachtoffer] achteruit en/of tegen een muur is geduwd en/of - (terwijl voornoemde [slachtoffer] op de grond lag) die voornoemde [slachtoffer] meermalen, althans eenmaal, (met kracht) (met geschoeide voet) in het gezicht en/of tegen het lichaam is geschopt en/of getrapt en/of - die voornoemde [slachtoffer] meermalen, althans eenmaal, in/tegen het gezicht/hoofd en/of tegen het lichaam is geslagen en/of gestompt; zij op of omstreeks 8 januari 2009 in de gemeente Almelo tezamen en in vereniging met een ander of anderen, althans alleen, met het oogmerk van wederrechtelijke toe-eigening heeft weggenomen een laptop en/of een oplader van een laptop, in elk geval enig goed, geheel of ten dele toebehorende aan [slachtoffer], in elk geval aan een ander of anderen dan aan verdachte en/of haar mededader(s), welke diefstal werd voorafgegaan en/of vergezeld en/of gevolgd van geweld en/of bedreiging met geweld tegen voornoemde [slachtoffer], gepleegd met het oogmerk om die diefstal voor te bereiden en/of gemakkelijk te maken en/of om bij betrapping op heterdaad aan zichzelf en/of aan haar mededader(s) hetzij de vlucht mogelijk te maken, hetzij het bezit van het gestolene te verzekeren, welk geweld en/of welke bedreiging met geweld hierin bestond(en) dat verdachte en/of haar mededader(s): - die [slachtoffer] (met kracht) bij de keel heeft/hebben gepakt en/of - (vervolgens) (met kracht) die [slachtoffer] haar woning in heeft/hebben geduwd"
391,ECLI:NL:RBDHA:2021:10848,19-08-2021,"hierna te noemen: de verdachte, geboren op [geboortedatum] 2004 te [geboorteplaats] , [adres]"
392,ECLI:NL:RBLIM:2015:9654,05-11-2015,"geboren te [geboorteplaats] op [geboortedatum] , wonende te [adresgegevens verdachte] , thans gedetineerd in PI Limburg Zuid - De Geerhorst te Sittard. De verdachte wordt bijgestaan door mr. I.T.H.L. van de Bergh, advocaat, kantoorhoudende te Maastricht. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 4 november 2015. De verdachte en zijn raadsman zijn verschenen. De officier van justitie en de verdediging hebben hun standpunten kenbaar gemaakt."
393,ECLI:NL:RBOVE:2015:2773,10-06-2015,"geboren op [geboortedatum] 1973 in [geboorteplaats], wonende in [woonplaats], nu verblijvende in P.I. Almelo, HvB “de Karelskamp” in Almelo."
394,ECLI:NL:RBDHA:2014:14165,20-11-2014,"geboren te [geboorteplaats] (Turkije) op [geboortedag]1994, adres: [woonplaats]"
395,ECLI:NL:RBAMS:2021:3881,22-07-2021,", geboren te [geboorteplaats] ( [land van herkomst] ) op [geboortedag] 1973, ingeschreven in de Basisregistratie Personen op het adres [adres verdachte] , gedetineerd in [detentieplaats] ."
396,ECLI:NL:RBNNE:2021:340,04-02-2021,"geboren op [geboortedatum] 2015 te [geboorteplaats] , thans gedetineerd in [instelling] Dit vonnis is gewezen naar aanleiding van het onderzoek ter terechtzitting van 21 januari 2021. De verdachte is verschenen, bijgestaan door mr. G.R. Stoeten, advocaat te Leeuwarden. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. H.J. Veen."
397,ECLI:NL:RBOVE:2020:1636,30-04-2020,", geboren op [geboortedatum] 1982 in [geboorteplaats] , wonende aan de [adres] , thans verblijvende in de P.I. Arnhem te Arnhem."
398,ECLI:NL:RBMNE:2020:903,10-03-2020,", geboren op [2000] in [geboorteplaats] , wonende aan de [adres] , [woonplaats] ."
399,ECLI:NL:RBOVE:2019:1457,26-04-2019,", geboren op [geboortedatum] 1971 in [geboorteplaats] , wonende te [adres 1] , nu verblijvende in HvB Ooyerhoekseweg te Zutphen"
400,ECLI:NL:RBGEL:2017:3685,14-07-2017,"geboren op [geboortedatum] 1970 te [geboorteplaats] , wonende te [adres] thans gedetineerd te HvB Ooyerhoekseweg - Zutphen te Zutphen. Raadsman: mr. J. Zevenboom, advocaat te Almere-Haven. Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van 30 juni 2017."
401,ECLI:NL:RBNNE:2015:6355,03-12-2015,"geboren op [geboortedatum 1] te [geboorteplaats 1] , wonende te [woonplaats] , thans gedetineerd te [verblijfplaats] . Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van 19 november 2015. De verdachte is verschenen, bijgestaan door mr. G.J.P.M. Grijmans, advocaat te Bolsward. Het openbaar ministerie werd ter terechtzitting vertegenwoordigd door mr. P.F. Hoekstra."
402,ECLI:NL:RBNNE:2015:1305,19-03-2015,"geboren [geboorteplaats], wonende te [woonplaats], thans [verblijfplaats]. Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van 5 maart 2015. De verdachte is verschenen, bijgestaan door mr. R.W. de Casseres, advocaat te Leeuwarden. Het openbaar ministerie werd ter terechtzitting vertegenwoordigd door mr. L. Keekstra."
403,ECLI:NL:RBBRE:2010:BL6648,04-03-2010,"geboren op [datum en plaats] thans gedetineerd in de P.I. voor Vrouwen te Breda raadsvrouw mr. H.J. Roks, advocate te Breda. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 18 februari 2010, waarbij de officier van justitie, mr. Laheij, en de verdediging hun standpunten kenbaar hebben gemaakt. Ter zitting is ook de vordering tot tenuitvoerlegging behandeld met bovenvermeld parketnummer."
404,ECLI:NL:RBHAA:2009:BJ8521,14-09-2009,"geboren op [geboortedatum] te [geboorteplaats], thans gedetineerd in PI Midden Holland, HvB Haarlem te Haarlem."
405,ECLI:NL:RBDHA:2015:10565,03-09-2015,", geboren op [geboortedatum] 2000 te [geboorteplaats] , BRP-adres: [adres 1] , thans preventief gedetineerd in [X] ."
406,ECLI:NL:RBMNE:2021:5704,24-11-2021,", geboren op [2001] te [geboorteplaats] , gedetineerd in het Penitentiair Psychiatrisch Centrum van Penitentiaire Inrichting Haaglanden te Den Haag, hierna te noemen: verdachte."
407,ECLI:NL:RBDHA:2021:288,21-01-2021,", geboren op [geboortedatum] te [geboorteplaats] , BRP-adres: [adres 1] , thans gedetineerd in het Justitieel Complex Schiphol te Badhoevedorp."
408,ECLI:NL:RBALK:2009:BJ7288,16-06-2009,"geboren te [geboorteplaats en geboortedatum], ingeschreven in de basisadministratie persoonsgegevens op het [adres en woonplaats]."
409,ECLI:NL:RBDHA:2018:7490,19-06-2018,
410,ECLI:NL:RBAMS:2018:2571,18-04-2018,",geboren te [geboorteplaats] ( [land van herkomst] ) op [geboortedag] 1969,ingeschreven in de Basisregistratie Personen op het adres [adres 1] , thans verblijvende in het Justitieel Complex [locatie te plaats] ."
411,ECLI:NL:RBAMS:2020:3107,24-06-2020,", geboren te [geboorteplaats] op [geboortedag] 1984, zonder vaste woon- of verblijfplaats, thans gedetineerd in het Justitieel Complex [locatie te plaats] ."
412,ECLI:NL:RBNNE:2019:1665,23-04-2019,"geboren op [geboortedatum 1] 1971 te [geboorteplaats 1] , zonder bekende woon- of verblijfplaats in Nederland, correspondentieadres [correspondentieadres] . Dit vonnis is gewezen naar aanleiding van het onderzoek ter terechtzitting van 26 maart 2019. Verdachte is verschenen, bijgestaan door mr. C. Eenhoorn, advocaat te Groningen. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. R.G. de Graaf."
413,ECLI:NL:RBMNE:2021:5432,25-10-2021,", geboren op [geboortedatum] 1993 te [geboorteplaats] , wonende aan de [adres] , [postcode] te [woonplaats] (hierna: verdachte)."
414,ECLI:NL:RBNNE:2021:1975,25-05-2021,"geboren op [geboortedatum] 1976 te [geboorteplaats], zonder vaste woon- of verblijfplaats hier te lande, thans gedetineerd te [instelling]. Dit vonnis is gewezen naar aanleiding van het onderzoek ter terechtzitting van 11 mei 2021. Verdachte is verschenen, bijgestaan door mr. A.P.E.M. Pover, advocaat te Meppel. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. B. Rademacher. Tevens was als deskundige aanwezig H. de Jonge, reclasseringswerker."
415,ECLI:NL:RBLIM:2014:756,28-01-2014,"geboren te [geboorteplaats] op [geboortedatum], thans gedetineerd in de PI Limburg Zuid - De Geerhorst te Sittard. Raadsman is mr. B.H.M. Nijsten, advocaat te Maastricht. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zittingen van 12 november 2013 en 14 januari 2014, waarbij de officier van justitie, de verdediging en de verdachte hun standpunten kenbaar hebben gemaakt."
416,ECLI:NL:RBAMS:2018:2446,13-04-2018,", geboren op [geboortedag] 1973, zonder vaste woon- of verblijfplaats in Nederland, gedetineerd in het [plaats detentie] ."
417,ECLI:NL:RBAMS:2017:1365,02-03-2017,"geboren te [geboorteplaats] (Algerije) op [geboortedag] 1975, zonder vaste woon- of verblijfplaats in Nederland, gedetineerd in de Penitentiaire Inrichting [locatie te plaats] ."
418,ECLI:NL:RBROE:2010:BO0358,08-10-2010,"geboren te [geboortedatum en plaats], thans gedetineerd Het onderzoek van de zaak Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van 24 september 2010."
419,ECLI:NL:RBMNE:2013:2679,09-07-2013,geboren op [1963] te [geboorteplaats] (Joegoslavië) gedetineerd in het Huis van Bewaring te Nieuwegein.
420,ECLI:NL:RBROT:2021:8842,06-09-2021,"geboren te [geboorteplaats verdachte] op [geboortedatum verdachte] , ten tijde van het onderzoek op de terechtzitting preventief gedetineerd in het Detentiecentrum Rotterdam, raadsman mr. W.H.J.W. de Brouwer, advocaat te Rotterdam."
421,ECLI:NL:RBLIM:2017:10972,14-11-2017,"geboren te [geboortegegevens verdachte] , gedetineerd in PPC Vught, Lunettenlaan 501 te Vught. De verdachte wordt bijgestaan door mr. M.J.M. Houben, advocaat kantoorhoudende te Wessem. Onderzoek van de zaak De gevoegde zaken met bovenstaande parketnummers zijn inhoudelijk behandeld op de terechtzitting van 31 oktober 2017. De verdachte en zijn raadsvrouw zijn verschenen. De officier van justitie en de verdediging hebben hun standpunten kenbaar gemaakt."
422,ECLI:NL:RBOVE:2016:273,28-01-2016,"geboren op [geboortedatum] 1979 in [geboorteplaats] , wonende in [woonplaats] , nu verblijvende in PI Zwolle, HvB Zwolle."
